S000003578	YJL042W
S000034384	
S000003577	YJL041W
S000034258	
S000034259	
S000034260	
S000003576	YJL039C
S000034602	
S000006538	tD(GUC)J3
S000030793	
S000006715	tR(UCU)J2
S000030328	
S000028449	ARS1012
S000007025	YJLCdelta6
S000028450	ARS1013
S000003575	YJL038C
S000034497	
S000003574	YJL037W
S000034457	
S000007026	YJLCdelta7
S000006759	tV(AAC)J
S000032964	
S000003573	YJL036W
S000032435	
S000003572	YJL035C
S000032286	
S000003571	YJL034W
S000032230	
S000003570	YJL033W
S000031248	
S000003569	YJL032W
S000031093	
S000003568	YJL031C
S000030060	
S000030059	
S000030061	
S000003567	YJL030W
S000030009	
S000003566	YJL029C
S000030293	
S000006661	tM(CAU)J1
S000029920	
S000003565	YJL028W
S000030214	
S000003564	YJL027C
S000036407	
S000003563	YJL026W
S000036365	
S000028660	YJL026C-A
S000032485	
S000003562	YJL025W
S000036283	
S000003561	YJL024C
S000036076	
S000036075	
S000036077	
S000006583	tG(GCC)J1
S000030415	
S000003559	YJL022W
S000035121	
S000003560	YJL023C
S000035183	
S000028659	YJL020W-A
S000032463	
S000003557	YJL020C
S000033969	
S000003556	YJL019W
S000035368	
S000003553	YJL016W
S000034286	
S000003552	YJL015C
S000034109	
S000003551	YJL014W
S000034079	
S000003550	YJL013C
S000032025	
S000003549	YJL012C
S000031895	
S000003548	YJL011C
S000030894	
S000006625	tK(CUU)J
S000036030	
S000006773	tW(CCA)J
S000033314	
S000033313	
S000033312	
S000007047	YJLWtau3
S000007029	YJLWdelta8
S000007030	YJLWdelta9
S000028451	ARS1014
S000003547	YJL010C
S000030801	
S000003546	YJL009W
S000031233	
S000003545	YJL008C
S000031107	
S000007038	YJLWtau4
S000007031	YJLWdelta10
S000006662	tM(CAU)J2
S000029922	
S000003544	YJL007C
S000031008	
S000003543	YJL006C
S000030929	
S000006650	tL(UAA)J
S000037406	
S000003542	YJL005W
S000029993	
S000003541	YJL004C
S000037910	
S000003540	YJL003W
S000037880	
S000003539	YJL002C
S000035955	
S000003538	YJL001W
S000035909	
S000035910	
S000035911	
S000006471	CEN10
S000077296	
S000077297	
S000077298	
S000003761	YJR001W
S000033093	
S000003762	YJR002W
S000033184	
S000003763	YJR003C
S000033209	
S000028452	ARS1015
S000003764	YJR004C
S000034030	
S000003765	YJR005W
S000034176	
S000028523	YJR005C-A
S000030322	
S000003766	YJR006W
S000035159	
S000003767	YJR007W
S000035254	
S000003768	YJR008W
S000035336	
S000028453	ARS1016
S000003769	YJR009C
S000035380	
S000003771	YJR010W
S000031767	
S000003770	YJR010C-A
S000037612	
S000028454	ARS1017
S000003772	YJR011C
S000031827	
S000003774	YJR013W
S000037491	
S000003773	YJR012C
S000031960	
S000003775	YJR014W
S000037578	
S000003776	YJR015W
S000037660	
S000003777	YJR016C
S000037686	
S000003779	YJR018W
S000030641	
S000003778	YJR017C
S000030503	
S000003781	YJR020W
S000030190	
S000003780	YJR019C
S000030681	
S000003782	YJR021C
S000030251	
S000030250	
S000030252	
S000003783	YJR022W
S000033657	
S000003784	YJR023C
S000033704	
S000003785	YJR024C
S000033856	
S000003786	YJR025C
S000033981	
S000007040	YJRWdelta11
S000007048	YJRWTy1-1
S000003787	YJR026W
S000034898	
S000003788	YJR027W
S000035049	
S000035050	
S000035051	
S000007041	YJRWdelta12
S000007049	YJRWTy1-2
S000003789	YJR028W
S000035151	
S000003790	YJR029W
S000036043	
S000036044	
S000036045	
S000007042	YJRWdelta13
S000003791	YJR030C
S000034642	
S000003792	YJR031C
S000034771	
S000003793	YJR032W
S000035830	
S000003794	YJR033C
S000035875	
S000003795	YJR034W
S000037813	
S000003796	YJR035W
S000037907	
S000003798	YJR037W
S000030927	
S000003797	YJR036C
S000029850	
S000003800	YJR039W
S000031105	
S000003799	YJR038C
S000030967	
S000003801	YJR040W
S000030664	
S000003802	YJR041C
S000030713	
S000003803	YJR042W
S000030892	
S000003804	YJR043C
S000031802	
S000006663	tM(CAU)J3
S000029924	
S000007043	YJRWdelta14
S000003805	YJR044C
S000031950	
S000003806	YJR045C
S000032104	
S000003807	YJR046W
S000034108	
S000006727	tS(AGA)J
S000032380	
S000003808	YJR047C
S000034179	
S000003809	YJR048W
S000034309	
S000003810	YJR049C
S000034337	
S000003811	YJR050W
S000033850	
S000003812	YJR051W
S000033966	
S000007032	YJRCdelta15
S000006584	tG(GCC)J2
S000030417	
S000003813	YJR052W
S000034844	
S000003814	YJR053W
S000034983	
S000003815	YJR054W
S000035180	
S000007033	YJRCdelta16
S000007044	YJRWdelta17
S000006707	tR(CCU)J
S000032860	
S000003816	YJR055W
S000036066	
S000028455	ARS1018
S000007045	YJRWdelta18
S000007034	YJRCdelta19
S000006539	tD(GUC)J4
S000030795	
S000003817	YJR056C
S000036154	
S000006782	tY(GUA)J2
S000032087	
S000032086	
S000032085	
S000007046	YJRWdelta20
S000003818	YJR057W
S000036320	
S000003819	YJR058C
S000036359	
S000003820	YJR059W
S000030117	
S000003821	YJR060W
S000037892	
S000003822	YJR061W
S000029930	
S000003823	YJR062C
S000029976	
S000003824	YJR063W
S000031049	
S000003825	YJR064W
S000031152	
S000003826	YJR065C
S000031207	
S000003827	YJR066W
S000032272	
S000003828	YJR067C
S000032323	
S000003829	YJR068W
S000032475	
S000003830	YJR069C
S000034432	
S000003832	YJR071W
S000033295	
S000003831	YJR070C
S000033205	
S000003833	YJR072C
S000034114	
S000003834	YJR073C
S000034233	
S000003835	YJR074W
S000034411	
S000003836	YJR075W
S000035455	
S000003837	YJR076C
S000035494	
S000003838	YJR077C
S000035596	
S000003839	YJR078W
S000036561	
S000003840	YJR079W
S000036624	
S000036625	
S000036626	
S000003841	YJR080C
S000037402	
S000003842	YJR082C
S000030287	
S000003843	YJR083C
S000030434	
S000003844	YJR084W
S000031409	
S000003845	YJR085C
S000031477	
S000003846	YJR086W
S000031665	
S000003847	YJR087W
S000032646	
S000003848	YJR088C
S000032686	
S000003849	YJR089W
S000032816	
S000003850	YJR090C
S000032905	
S000003851	YJR091C
S000033011	
S000003852	YJR092W
S000033797	
S000003853	YJR093C
S000033863	
S000003854	YJR094C
S000034019	
S000003855	YJR094W-A
S000034757	
S000034758	
S000034759	
S000003856	YJR095W
S000034990	
S000003857	YJR096W
S000035147	
S000003858	YJR097W
S000035313	
S000028456	ARS1019
S000003859	YJR098C
S000036139	
S000003860	YJR099W
S000036337	
S000003861	YJR100C
S000033573	
S000006654	tL(UAG)J
S000035855	
S000035853	
S000035854	
S000003862	YJR101W
S000034505	
S000003863	YJR102C
S000034557	
S000003864	YJR103W
S000034718	
S000003865	YJR104C
S000035647	
S000003866	YJR105W
S000035831	
S000003867	YJR106W
S000035951	
S000003868	YJR107W
S000037815	
S000003869	YJR108W
S000037909	
S000003870	YJR109C
S000029885	
S000003871	YJR110W
S000037677	
S000003872	YJR111C
S000037709	
S000003873	YJR112W
S000037783	
S000028513	YJR112W-A
S000030277	
S000030278	
S000030279	
S000003875	YJR114W
S000030784	
S000003874	YJR113C
S000030623	
S000003876	YJR115W
S000030893	
S000003877	YJR116W
S000031858	
S000003878	YJR117W
S000032024	
S000003879	YJR118C
S000032105	
S000003880	YJR119C
S000034072	
S000003881	YJR120W
S000032979	
S000003882	YJR121W
S000033071	
S000003883	YJR122W
S000033750	
S000003884	YJR123W
S000033852	
S000003885	YJR124C
S000033876	
S000028457	ARS1020
S000003886	YJR125C
S000034017	
S000003887	YJR126C
S000034920	
S000003889	YJR128W
S000036069	
S000003888	YJR127C
S000035071	
S000006492	snR3
S000034301	
S000003890	YJR129C
S000036155	
S000003891	YJR130C
S000036945	
S000003892	YJR131W
S000037068	
S000003893	YJR132W
S000037153	
S000003894	YJR133W
S000037899	
S000003895	YJR134C
S000029858	
S000003896	YJR135C
S000030000	
S000007348	YJR135W-A
S000032075	
S000003897	YJR136C
S000030982	
S000003898	YJR137C
S000031082	
S000007553	ARS1021
S000003899	YJR138W
S000031284	
S000003900	YJR139C
S000032214	
S000028666	YJR140W-A
S000032491	
S000003901	YJR140C
S000032216	
S000003902	YJR141W
S000033127	
S000003903	YJR142W
S000033186	
S000003904	YJR143C
S000033214	
S000003905	YJR144W
S000033297	
S000003906	YJR145C
S000034116	
S000034115	
S000034117	
S000003907	YJR146W
S000034307	
S000003908	YJR147W
S000034417	
S000003909	YJR148W
S000035457	
S000003910	YJR149W
S000035545	
S000003911	YJR150C
S000036513	
